Depot,Block,Species,Warmed,Elaiosome,t_0,t_0.5,t_1,t_1.5,t_2,t_2.5,t_3,t_3.5,t_4,t_4.5,t_5,t_5.5,t_6,t_6.5,t_7,t_7.5,t_8,t_8.5,t_9,t_9.5,t_10,t_10.5,t_11,t_11.5,t_12,t_24,t_36,t_48
1,1,CN,0,0,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,6,2,2
2,2,CN,0,0,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,13,8,7
3,3,CN,0,0,25,25,23,17,15,15,15,15,15,15,14,14,14,14,14,14,14,13,9,6,4,0,0,0,0,0,0,0
4,4,CN,0,0,25,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,21,21,20,18,18,16,13,0,0,0
5,5,CN,0,0,25,25,25,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,7,4,4
6,6,CN,0,0,25,25,25,25,25,25,25,25,25,24,22,22,22,22,22,22,22,22,22,22,21,19,15,9,6,0,0,0
7,7,CN,0,0,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,14,12,5
8,8,CN,0,0,25,25,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,23,23,1,1,1
9,9,CN,0,0,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,13,13
10,10,CN,0,0,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,23,23,23,23,23,21,0
11,1,CN,0,1,25,25,25,25,25,25,25,25,24,24,15,15,10,10,10,10,10,10,10,10,9,9,8,0,0,0,0,0
12,2,CN,0,1,25,25,25,23,23,23,19,15,9,8,8,8,5,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0
13,4,CN,0,1,25,25,25,25,25,25,23,23,20,18,18,18,18,18,18,18,16,15,15,15,13,12,12,12,12,0,0,0
14,3,CN,0,1,25,25,25,24,22,22,20,19,17,17,16,15,14,14,14,13,12,12,12,12,12,11,10,8,0,0,0,0
15,9,CN,0,1,25,25,23,23,23,23,23,23,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,21,5,1,0
16,10,CN,0,1,25,25,23,23,23,23,23,22,22,22,22,22,19,8,8,8,8,8,7,5,3,0,0,0,0,0,0,0
